epoch,Loss,Pitch,Yaw,Roll
001,0.085,6.628,4.732,4.674
002,0.050,5.570,5.128,4.183
003,0.042,5.877,4.997,4.244
004,0.037,5.616,4.860,3.812
005,0.034,5.476,4.771,4.200
006,0.027,5.533,4.533,4.070
007,0.024,5.290,4.494,3.708
008,0.023,5.322,4.355,3.793
009,0.022,5.228,4.404,3.722
010,0.021,5.098,4.121,3.480
011,0.018,5.210,4.278,3.661
012,0.018,5.186,4.184,3.592
013,0.017,5.276,4.076,3.689
014,0.017,5.085,4.072,3.553
015,0.016,5.130,4.017,3.524
016,0.016,5.434,4.132,3.880
017,0.016,5.309,4.076,3.722
018,0.016,5.055,4.021,3.434
019,0.015,5.132,3.937,3.636
020,0.015,5.182,3.980,3.675
021,0.015,5.202,3.976,3.605
022,0.015,5.021,3.922,3.524
023,0.015,5.176,4.018,3.565
024,0.014,5.133,3.986,3.590
025,0.014,5.237,3.940,3.723
026,0.014,5.212,3.895,3.682
027,0.014,5.387,3.916,3.841
028,0.014,5.118,3.864,3.610
029,0.014,5.197,3.937,3.592
030,0.014,5.205,3.959,3.683
031,0.014,5.143,3.860,3.634
032,0.013,5.055,3.821,3.536
033,0.013,5.117,3.830,3.580
034,0.013,5.277,3.886,3.652
035,0.013,5.099,3.850,3.637
036,0.013,5.030,3.985,3.523
037,0.013,5.209,3.901,3.692
038,0.013,5.103,3.998,3.571
039,0.013,5.182,3.949,3.746
040,0.013,5.028,3.906,3.533
041,0.013,5.184,3.972,3.767
042,0.012,5.144,3.861,3.618
043,0.012,5.164,3.878,3.705
044,0.012,5.042,3.854,3.533
045,0.012,5.109,3.853,3.587
046,0.012,5.184,3.917,3.717
047,0.012,5.135,3.833,3.691
048,0.012,5.185,3.892,3.697
049,0.012,5.163,3.960,3.681
050,0.012,5.107,3.794,3.569
051,0.012,5.082,3.852,3.578
052,0.012,5.048,3.820,3.557
053,0.012,4.965,3.761,3.511
054,0.012,4.977,3.853,3.533
055,0.012,4.992,3.805,3.502
056,0.011,4.989,3.854,3.527
057,0.011,4.986,3.845,3.572
058,0.011,5.043,3.796,3.561
059,0.011,4.987,3.748,3.466
060,0.011,4.915,3.724,3.444
061,0.011,4.974,3.869,3.507
062,0.011,5.030,3.767,3.556
063,0.011,5.021,3.832,3.573
064,0.011,5.038,3.883,3.549
065,0.011,5.126,3.878,3.691
066,0.011,5.014,3.778,3.557
067,0.011,5.088,3.871,3.641
068,0.011,5.033,3.835,3.491
069,0.011,4.966,3.803,3.530
070,0.011,5.098,3.755,3.625
071,0.011,5.087,3.823,3.562
072,0.011,5.043,3.739,3.557
073,0.011,5.138,3.912,3.673
074,0.010,5.146,3.827,3.642
075,0.010,5.037,3.795,3.567
076,0.010,5.047,3.767,3.585
077,0.010,4.999,3.807,3.559
078,0.010,5.034,3.801,3.585
079,0.010,5.008,3.737,3.507
080,0.010,5.048,3.795,3.558
081,0.010,4.974,3.880,3.528
082,0.010,5.083,3.826,3.601
083,0.010,5.197,3.936,3.738
084,0.010,4.969,3.852,3.505
085,0.010,4.976,3.783,3.489
086,0.010,4.953,3.787,3.524
087,0.010,5.139,3.810,3.682
088,0.010,5.017,3.808,3.525
089,0.010,4.979,3.896,3.539
090,0.010,5.059,3.828,3.631
091,0.010,5.166,3.854,3.761
092,0.010,4.990,3.772,3.567
093,0.010,5.001,3.798,3.601
094,0.010,4.894,3.771,3.507
095,0.010,5.076,3.859,3.608
096,0.010,5.099,3.784,3.677
097,0.010,4.964,3.844,3.531
098,0.010,5.101,3.849,3.647
099,0.010,5.015,3.921,3.635
100,0.010,5.142,3.810,3.655
